continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
Asia,India,2020-01-30,1,1,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-01-31,1,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-01,1,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-02,2,1,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-03,3,1,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-04,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-05,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-06,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-07,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-08,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-09,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-10,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-11,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-12,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-13,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-14,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-15,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-16,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-17,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-18,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-19,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-20,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-21,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-22,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-23,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-24,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-25,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-26,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-27,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-28,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-02-29,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-01,3,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-02,5,2,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-03,5,0,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-04,28,23,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-05,30,2,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-06,31,1,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-07,34,3,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-08,39,5,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-09,43,4,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-10,56,13,,,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-11,62,6,1,1,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-12,73,11,1,0,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-13,82,9,2,1,6500,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-14,102,20,2,0,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-15,113,11,2,0,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-16,119,6,2,0,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
Asia,India,2020-03-17,142,23,3,1,,,,,,,,1393409033,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
